dataset,id,pert_idx,m,identical_to_original,g1_cosine,g1_pass,g2_p_contradiction,g2_pass,both_pass
squad2,56ddde6b9a695914005b9628,0,1,False,0.9529671669006348,True,0.002655729418620467,True,True
squad2,56ddde6b9a695914005b9629,0,2,False,0.9144437313079834,True,0.0013213277561590075,True,True
squad2,56ddde6b9a695914005b9629,1,2,False,0.8691455125808716,True,0.012521748431026936,True,True
squad2,56ddde6b9a695914005b962a,0,1,False,0.9433035850524902,True,0.002456965856254101,True,True
squad2,56ddde6b9a695914005b962c,0,2,False,0.968021035194397,True,0.022975090891122818,True,True
squad2,56ddde6b9a695914005b962c,1,2,False,0.9173163771629333,True,0.012582012452185154,True,True
squad2,5ad39d53604f3c001a3fe8d1,0,2,False,0.9641208648681641,True,0.33863750100135803,True,True
squad2,5ad39d53604f3c001a3fe8d1,1,2,False,0.8627045154571533,True,0.014177640900015831,True,True
squad2,5ad39d53604f3c001a3fe8d4,0,2,False,0.9812045693397522,True,0.001615521963685751,True,True
squad2,5ad39d53604f3c001a3fe8d4,1,2,False,0.9300336837768555,True,0.01707230694591999,True,True
squad2,56dddf4066d3e219004dad60,0,1,False,0.8967952728271484,True,0.0011115804081782699,True,True
squad2,5ad3a266604f3c001a3fea27,0,2,False,0.9722996950149536,True,0.001526674721390009,True,True
squad2,5ad3a266604f3c001a3fea27,1,2,False,0.8673413991928101,True,0.003322816453874111,True,True
squad2,5ad3a266604f3c001a3fea28,0,1,False,0.9176360368728638,True,0.002833966864272952,True,True
squad2,5ad3a266604f3c001a3fea2a,0,1,False,0.9649927020072937,True,0.001507267588749528,True,True
squad2,5ad3a266604f3c001a3fea2b,0,1,False,0.9148104786872864,True,0.001977678155526519,True,True
squad2,56dde0379a695914005b9636,0,1,False,0.897733747959137,True,0.03640652447938919,True,True
squad2,56dde0379a695914005b9637,0,1,False,0.9794565439224243,True,0.0030100832227617502,True,True
squad2,5ad3ab70604f3c001a3feb89,0,2,False,0.9942802786827087,True,0.0025420919992029667,True,True
squad2,5ad3ab70604f3c001a3feb89,1,2,False,0.9549885988235474,True,0.002378616016358137,True,True
squad2,5ad3ab70604f3c001a3feb8a,0,1,False,0.9801126718521118,True,0.0050728111527860165,True,True
squad2,56dde0ba66d3e219004dad75,0,1,False,0.9464633464813232,True,0.0020313316490501165,True,True
squad2,56dde0ba66d3e219004dad76,0,1,False,0.9548956751823425,True,0.010576780885457993,True,True
squad2,56dde0ba66d3e219004dad77,0,1,False,0.910161018371582,True,0.005269140470772982,True,True
squad2,5ad3ad61604f3c001a3fec0d,0,2,False,0.8650615215301514,True,0.000850764277856797,True,True
squad2,5ad3ad61604f3c001a3fec0d,1,2,False,0.8904028534889221,True,0.007191994693130255,True,True
squad2,5ad3ad61604f3c001a3fec0e,0,2,False,0.9471079111099243,True,0.0368579663336277,True,True
squad2,5ad3ad61604f3c001a3fec0e,1,2,False,0.9525094628334045,True,0.01267211139202118,True,True
squad2,5ad3ad61604f3c001a3fec0f,0,2,False,0.8527016639709473,True,0.017264004796743393,True,True
squad2,5ad3ad61604f3c001a3fec0f,1,2,False,0.9183158874511719,True,0.001577464397996664,True,True
squad2,5ad3ad61604f3c001a3fec10,0,2,False,0.9852734804153442,True,0.0036198238376528025,True,True
squad2,5ad3ad61604f3c001a3fec10,1,2,False,0.8680224418640137,True,0.0029126391746103764,True,True
squad2,56dde1d966d3e219004dad8d,0,1,False,0.989971399307251,True,0.00720754312351346,True,True
squad2,5ad3ae14604f3c001a3fec39,0,2,False,0.9884341359138489,True,0.0019836348947137594,True,True
squad2,5ad3ae14604f3c001a3fec39,1,2,False,0.9210437536239624,True,0.0026248309295624495,True,True
squad2,5ad3ae14604f3c001a3fec3a,0,1,False,0.9950127005577087,True,0.0014530324842780828,True,True
squad2,56dde27d9a695914005b9652,0,3,False,0.9613993763923645,True,0.01473754458129406,True,True
squad2,56dde27d9a695914005b9652,1,3,False,0.9038704037666321,True,0.013543874956667423,True,True
squad2,56dde27d9a695914005b9652,2,3,False,0.9039266109466553,True,0.003942547366023064,True,True
squad2,5ad3af11604f3c001a3fec63,0,1,False,0.9358645677566528,True,0.00347153446637094,True,True
squad2,5ad3af11604f3c001a3fec64,0,2,False,0.8582947254180908,True,0.0019313301891088486,True,True
squad2,5ad3af11604f3c001a3fec64,1,2,False,0.8714965581893921,True,0.0021636555902659893,True,True
squad2,5ad3af11604f3c001a3fec65,0,2,False,0.9823967814445496,True,0.001995688071474433,True,True
squad2,5ad3af11604f3c001a3fec65,1,2,False,0.9273775815963745,True,0.002124365884810686,True,True
squad2,56dde2fa66d3e219004dad9b,0,2,False,0.9458838701248169,True,0.0013352726818993688,True,True
squad2,56dde2fa66d3e219004dad9b,1,2,False,0.919095516204834,True,0.001025076606310904,True,True
squad2,5ad3c626604f3c001a3ff011,0,1,False,0.898267388343811,True,0.04019910469651222,True,True
squad2,5ad3c626604f3c001a3ff012,0,2,False,0.9482792615890503,True,0.0014265967765823007,True,True
squad2,5ad3c626604f3c001a3ff012,1,2,False,0.9679024815559387,True,0.0013447316596284509,True,True
squad2,56de0f6a4396321400ee257f,0,2,False,0.9919916987419128,True,0.0022089709527790546,True,True
squad2,56de0f6a4396321400ee257f,1,2,False,0.929945707321167,True,0.0022958412300795317,True,True
squad2,5ad3dbc6604f3c001a3ff3e9,0,2,False,0.9512569904327393,True,0.00364711438305676,True,True
squad2,5ad3dbc6604f3c001a3ff3e9,1,2,False,0.9256057739257812,True,0.12074465304613113,True,True
squad2,5ad3dbc6604f3c001a3ff3ea,0,2,False,0.9783350229263306,True,0.006725500803440809,True,True
squad2,5ad3dbc6604f3c001a3ff3ea,1,2,False,0.9210659861564636,True,0.01655365340411663,True,True
squad2,5ad3dbc6604f3c001a3ff3eb,0,1,False,0.9829579591751099,True,0.001678377971984446,True,True
squad2,5ad3dbc6604f3c001a3ff3ec,0,2,False,0.9793097972869873,True,0.002423315541818738,True,True
squad2,5ad3dbc6604f3c001a3ff3ec,1,2,False,0.8983272314071655,True,0.010455724783241749,True,True
squad2,56de0ffd4396321400ee258e,0,3,False,0.9924219846725464,True,0.0017115804366767406,True,True
squad2,56de0ffd4396321400ee258e,1,3,False,0.9717234373092651,True,0.0012490999652072787,True,True
squad2,56de0ffd4396321400ee258e,2,3,False,0.8505182266235352,True,0.11357466131448746,True,True
squad2,5ad3de8b604f3c001a3ff467,0,1,False,0.9983623027801514,True,0.0020987498573958874,True,True
squad2,5ad3de8b604f3c001a3ff468,0,1,False,0.9523166418075562,True,0.0013333469396457076,True,True
squad2,5ad3de8b604f3c001a3ff46a,0,2,False,0.9881417155265808,True,0.0015180738409981132,True,True
squad2,5ad3de8b604f3c001a3ff46a,1,2,False,0.9586242437362671,True,0.0011178040876984596,True,True
squad2,56de10b44396321400ee2593,0,1,False,0.9510155916213989,True,0.0046510896645486355,True,True
squad2,56de10b44396321400ee2594,0,1,False,0.8544532060623169,True,0.0034503827337175608,True,True
squad2,56de10b44396321400ee2595,0,2,False,0.9241565465927124,True,0.0011298026656731963,True,True
squad2,56de10b44396321400ee2595,1,2,False,0.9079063534736633,True,0.0010652501368895173,True,True
squad2,5ad3e96b604f3c001a3ff689,0,2,False,0.9775733947753906,True,0.00442523742094636,True,True
squad2,5ad3e96b604f3c001a3ff689,1,2,False,0.8839437961578369,True,0.10039263963699341,True,True
squad2,5ad3e96b604f3c001a3ff68a,0,2,False,0.9766315221786499,True,0.0017043367261067033,True,True
squad2,5ad3e96b604f3c001a3ff68a,1,2,False,0.9325592517852783,True,0.00224774656817317,True,True
squad2,5ad3e96b604f3c001a3ff68b,0,1,False,0.9434307217597961,True,0.004149594344198704,True,True
squad2,5ad3e96b604f3c001a3ff68c,0,1,False,0.9179530143737793,True,0.002846309682354331,True,True
squad2,56de11154396321400ee25aa,0,1,False,0.9230166077613831,True,0.03506774455308914,True,True
squad2,5ad3ea79604f3c001a3ff6e9,0,1,False,0.9218300580978394,True,0.0022199968807399273,True,True
squad2,5ad3ea79604f3c001a3ff6ea,0,1,False,0.9910902976989746,True,0.001559397904202342,True,True
squad2,5ad3ea79604f3c001a3ff6eb,0,2,False,0.9805794358253479,True,0.0028532815631479025,True,True
squad2,5ad3ea79604f3c001a3ff6eb,1,2,False,0.9764043688774109,True,0.0016526636900380254,True,True
squad2,56de148dcffd8e1900b4b5bc,0,1,False,0.9164251685142517,True,0.0026676321867853403,True,True
squad2,56de148dcffd8e1900b4b5bd,0,1,False,0.8826883435249329,True,0.07453259080648422,True,True
squad2,56de148dcffd8e1900b4b5be,0,1,False,0.9447710514068604,True,0.0014587646583095193,True,True
squad2,5ad3ed26604f3c001a3ff799,0,1,False,0.9578733444213867,True,0.0016920340713113546,True,True
